"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
45,109,2,0,1,-1,1,0,2,8,-39,8,-31,"k",4.24,0.46,4.88,1,3,23,-100,60,0.232064949494088,0.350089391937217,1,1,"k",50,3,"correct","correct",1,0
46,110,2,1,0,1,-1,0,2,8,38,0,38,"d",4.61,0.61,4.94,10,11,31,-100,60,0.307682460908836,0.470205585777876,1,1,"d",40,3,"correct","correct",1,0
47,111,2,1,0,1,-1,0,2,8,39,0,39,"d",5.39,0.51,3.63,10,11,31,-100,60,0.365103987442126,0.500190871956875,1,1,"d",40,3,"correct","correct",1,0
48,112,2,0,1,-1,1,0,2,8,-34,8,-26,"k",5.37,0.45,3.52,1,3,23,-100,60,0.230853290308005,0.35008169433786,1,1,"k",50,3,"correct","correct",1,0
49,113,2,1,1,1,1,0,2,8,34,8,42,"k",5.39,0.58,3.78,10,12,32,-100,61,0.310793146400101,0.460180460242555,0,1,"d",40,3,"incorrect","correct",0,1
50,114,2,0,1,-1,1,0,2,8,-37,8,-29,"k",6.34,0.45,3.41,1,3,23,-100,60,0.220050992320466,0.340068257752137,1,1,"k",50,3,"correct","incorrect",1,0
51,115,2,1,1,1,1,0,2,8,47,8,55,"k",5.7,0.47,3.6,10,12,32,-100,61,0.135454088525876,0.330087607235328,0,1,"d",40,3,"incorrect","correct",0,1
52,116,2,1,1,1,1,0,2,8,33,8,41,"k",5.84,0.58,3.86,10,12,32,-100,60,0.280940144893975,0.370142493971798,1,1,"k",50,3,"correct","incorrect",1,0
53,117,2,0,0,-1,-1,1,1,4,-46,0,-46,"d",6.87,0.55,4.43,1,2,22,-100,61,0.203588392818347,0.340134685186058,0,1,"k",50,3,"incorrect","correct",0,1
54,118,2,0,1,-1,1,0,1,4,-32,4,-28,"k",4.29,0.53,4.14,1,3,23,-100,60,0.0437468835407344,0.180018913284584,1,1,"k",50,3,"correct","incorrect",1,0
55,119,2,1,1,1,1,0,1,4,45,4,49,"k",6.81,0.69,4.16,10,12,32,-100,61,0.0523793137581379,0.270058019941644,0,1,"d",40,3,"incorrect","correct",0,1
56,120,2,1,1,1,1,0,1,4,47,4,51,"k",6.03,0.49,4.46,10,12,32,-100,60,0.5333056599884,0.630279163426167,1,1,"k",50,3,"correct","incorrect",1,0
57,121,2,1,1,1,1,0,1,4,44,4,48,"k",6.96,0.66,3.17,10,12,32,-100,61,0.210361140008899,0.310106919656391,0,1,"d",40,3,"incorrect","correct",0,1
