,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
778,63,127,2,0,0,-1,-1,0,1,4,-37,0,-37,d,5.1,0.45,4.58,1,2,22,-100,61,0.6068973343,0.6902796812,0,1,k,50.0,14,incorrect,incorrect,0,1
784,64,128,2,0,0,-1,-1,0,1,4,-39,0,-39,d,6.9,0.62,4.38,1,2,22,-100,61,0.3032727598,0.3400918424,0,1,k,50.0,14,incorrect,incorrect,0,1
790,1,129,3,1,1,1,1,0,1,4,30,4,34,k,6.24,0.43,4.5,10,12,32,-100,60,0.436580282,0.5201964118,1,1,k,50.0,14,correct,incorrect,1,0
796,2,130,3,1,0,1,-1,0,1,4,46,0,46,d,4.97,0.63,4.56,10,11,31,-100,61,0.0317023751,0.0999136429,0,1,k,50.0,14,incorrect,correct,0,1
802,3,131,3,1,0,1,-1,0,1,4,49,0,49,d,6.33,0.41,4.92,10,11,31,-100,61,0.35041706,0.4501875822,0,1,k,50.0,14,incorrect,incorrect,0,1
808,4,132,3,0,0,-1,-1,0,1,4,-42,0,-42,d,4.25,0.68,3.55,1,2,22,-100,60,0.3270419147,0.4001161501,1,1,d,40.0,14,correct,incorrect,1,0
814,5,133,3,0,0,-1,-1,0,1,4,-52,0,-52,d,6.12,0.4,3.49,1,2,22,-100,61,0.422270493,0.4801402925,0,1,k,50.0,14,incorrect,correct,0,1
820,6,134,3,1,1,1,1,0,1,4,41,4,45,k,4.0,0.43,3.68,10,12,32,-100,60,0.4028494134,0.4701634684,1,1,k,50.0,14,correct,incorrect,1,0
826,7,135,3,0,0,-1,-1,0,1,4,-51,0,-51,d,5.72,0.52,4.11,1,2,22,-100,61,0.3437513988,0.4001341115,0,1,k,50.0,14,incorrect,correct,0,1
832,8,136,3,1,0,1,-1,0,1,4,48,0,48,d,6.14,0.63,3.42,10,11,31,-100,61,0.291470434,0.3801220175,0,1,k,50.0,14,incorrect,incorrect,0,1
838,9,137,3,0,1,-1,1,0,1,4,-45,4,-41,k,6.46,0.61,4.29,1,3,23,-100,60,0.3043022595,0.3701537464,1,1,k,50.0,14,correct,incorrect,1,0
844,10,138,3,0,1,-1,1,0,1,4,-45,4,-41,k,6.54,0.55,3.72,1,3,23,-100,60,0.2531189336,0.320081174,1,1,k,50.0,14,correct,correct,1,0
850,11,139,3,1,0,1,-1,0,1,4,31,0,31,d,6.35,0.57,4.76,10,11,31,-100,60,0.3356653644,0.4501667698,1,1,d,40.0,14,correct,correct,1,0
856,12,140,3,0,1,-1,1,0,1,4,-33,4,-29,k,5.63,0.63,4.16,1,3,23,-100,60,0.3608571732,0.4601584192,1,1,k,50.0,14,correct,correct,1,0
862,13,141,3,0,1,-1,1,1,3,12,-56,12,-44,k,5.75,0.6,4.15,1,3,23,-100,60,0.2903397235,0.3400887063,1,1,k,50.0,14,correct,correct,1,0
868,14,142,3,1,0,1,-1,0,3,12,46,0,46,d,6.5,0.68,3.54,10,11,31,-100,60,0.2952274949,0.3799880201,1,1,d,40.0,14,correct,correct,1,0
874,15,143,3,1,1,1,1,0,3,12,48,12,60,k,4.19,0.48,3.84,10,12,32,-100,60,0.5194830891,0.5902109434,1,1,k,50.0,14,correct,correct,1,0
880,16,144,3,1,1,1,1,0,3,12,40,12,52,k,6.3,0.61,3.56,10,12,32,-100,60,0.2847748372,0.3401702452,1,1,k,50.0,14,correct,correct,1,0
886,17,145,3,0,0,-1,-1,0,3,12,-47,0,-47,d,6.37,0.68,3.11,1,2,22,-100,60,0.2901814924,0.4101097952,1,1,d,40.0,14,correct,correct,1,0
892,18,146,3,0,0,-1,-1,0,3,12,-35,0,-35,d,6.58,0.49,4.44,1,2,22,-100,61,0.4428986902,0.5101397594,0,1,k,50.0,14,incorrect,correct,0,1
