s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
6.430024742753181e-12,-9.755186158685406e-13,2.128589351134557e-12,1.0,7.105014091500556e-12,1.0,39,10
4.312807899411365e-12,-1.1373409286798228e-10,-5.453149463908721e-11,1.0,-1.3179588270030896e-10,1.0,40,10
-4.860609996586898e-10,-4.948653200368913e-10,-4.904740812532361e-10,1.0,-4.755385269738879e-10,1.0,41,10
7.5389082197194e-11,8.30487938343554e-11,7.730564387149277e-11,1.0,-4.886484179129194e-11,1.0,42,10
-2.3381119138320842e-11,-2.2048757680565935e-11,-2.2800815857463627e-11,1.0,-2.376329685612615e-11,1.0,43,10
1.2200900973740708e-10,2.7581912816726305e-10,1.9778077557022262e-10,1.0,-4.3101276731491375e-11,1.0,44,10
-3.460539092350984e-10,-4.071713541704184e-10,-3.764098069531222e-10,1.0,-3.7338497584558087e-10,1.0,45,10
-3.3815168725805326e-11,3.6813214454901645e-11,1.438118024392646e-12,1.0,4.478808585490365e-11,1.0,46,10
-4.629839608299839e-11,1.2538487425342667e-11,-1.6689689225349927e-11,1.0,1.8192527265095514e-11,1.0,47,10
-2.1384758143175644e-10,-2.188202185949815e-10,-2.164836443796319e-10,1.0,-2.1543978305056265e-10,1.0,48,10
2.532061324536241e-10,-2.768549143916898e-11,1.1354128916707414e-10,1.0,-3.433024952601945e-11,1.0,49,10
1.9014034672907473e-10,4.970616640144663e-10,3.4236688293134315e-10,1.0,-2.0865897215328615e-11,1.0,50,10
-3.810109750025148e-11,2.774243940045478e-10,1.2040504132029253e-10,1.0,1.678060624903633e-10,1.0,51,10
2.1755862337961262e-12,2.5188574635256444e-10,1.2726566904518132e-10,1.0,2.1950074851775236e-10,1.0,52,10
-2.4351007122332e-10,-2.353450261641856e-10,-2.394129277187928e-10,1.0,-3.180520147463839e-10,1.0,53,10
1.2215844954087505e-10,1.5923069527323136e-11,6.935500821745762e-11,1.0,-5.00396883269441e-11,1.0,54,10
1.2853722657937084e-10,1.1036397108003904e-10,1.2015870337376702e-10,1.0,-6.391837956353005e-12,1.0,55,10
-1.0686946598825378e-11,8.443957365475485e-11,3.7126362898272055e-11,1.0,-1.3095108895544546e-11,1.0,56,10
8.938536675351582e-11,7.422728848748965e-11,8.22505114004316e-11,1.0,4.453172175670939e-11,1.0,57,10
-4.403345182833964e-10,-3.8462419559493997e-10,-4.1216024538770933e-10,1.0,-4.4164960908345006e-10,1.0,58,10
-5.668427873978716e-11,-1.0344165133651783e-10,-8.039970520517166e-11,0.0,1.1082098111024261e-10,1.0,59,10
4.996047644133444e-10,2.262729922567721e-10,3.6400217975409495e-10,1.0,-9.612133563262565e-11,1.0,60,10
-2.182055395768474e-11,-5.583681269866218e-11,-3.8612049736591944e-11,1.0,4.6219180878484235e-10,1.0,61,10
4.3807921014240474e-11,-4.75771106785543e-11,-1.8271515300210817e-12,1.0,1.7473064380446444e-10,1.0,62,10
-3.654787946373737e-10,-4.2878550025818937e-10,-3.9714309314264387e-10,1.0,-4.3734420650260323e-10,1.0,63,10
5.976784539537098e-11,5.835002670516653e-11,5.945762140627403e-11,1.0,1.0975406773879234e-11,1.0,64,10
-7.026063987021794e-13,1.297200449990066e-11,6.2444828955848675e-12,1.0,5.1485177913244105e-11,1.0,65,10
-4.7455021373430776e-11,-9.69743045618309e-11,-7.189576155142859e-11,1.0,-3.7202639473490445e-11,1.0,66,10
-2.663981183624182e-10,-1.0955076660646617e-10,-1.8722373336336153e-10,1.0,-1.23042051415123e-10,1.0,67,10
1.483631866541353e-10,5.685169001990671e-11,1.020424901650822e-10,1.0,-8.399787458837283e-11,1.0,68,10
2.4608460025048615e-11,1.1160476582735944e-10,6.801986259603462e-11,1.0,1.1825109888654742e-10,1.0,69,10
1.5166924871628726e-10,1.0709644373031761e-10,1.3008993146158568e-10,1.0,1.1727295966124157e-10,1.0,70,10
-4.312669863184069e-11,-1.6988366543962217e-10,-1.0628080719180174e-10,1.0,-1.876620066687211e-10,1.0,71,10
-7.201810820785672e-11,1.7049037623321577e-11,-2.7028824907046224e-11,1.0,-5.425006567954158e-12,1.0,72,10
-4.5271089595765376e-10,-4.45125347667664e-10,-4.4891693821219935e-10,1.0,-4.163300649180538e-10,1.0,73,10
-7.020355686546355e-11,5.472656385544627e-12,-3.190456854373962e-11,1.0,-9.545107703107419e-11,1.0,74,10
6.385472846119931e-11,8.221080049584068e-11,7.303384592561398e-11,1.0,6.82968946733264e-11,1.0,75,10
-4.115868907255686e-10,-2.4949322328636956e-10,-3.3052382373786067e-10,1.0,-3.4980016996755953e-10,1.0,76,10
-2.6754124358367504e-10,-2.2468444686066265e-10,-2.4611787763551434e-10,1.0,-2.2189150669003164e-10,1.0,77,10
-1.2764613720285581e-11,1.202075896066299e-10,5.409891756268688e-11,1.0,7.585660647111129e-12,1.0,78,10
4.8128681017176626e-11,4.579120903379914e-11,4.554360233662131e-11,1.0,1.1181093824158831e-10,1.0,79,10
-1.3235726163589283e-10,-8.533588007108066e-11,-1.090933070751728e-10,1.0,-6.457210386954713e-11,1.0,80,10
-3.5573728817647137e-10,-3.3833307758137396e-10,-3.4694572819479575e-10,1.0,-3.4528906246190757e-10,1.0,81,10
8.715296006937108e-11,4.8547561027265835e-11,6.796023749717581e-11,1.0,1.9310745566668126e-10,1.0,82,10
-1.1216676956971072e-10,-9.835577553673406e-11,-1.0539539740076944e-10,1.0,-3.9247559627793844e-11,1.0,83,10
-3.0824970331555945e-11,-7.243019375385289e-11,-5.150355528882272e-11,1.0,4.681361510848694e-12,1.0,84,10
1.027467076100915e-10,-3.5256255664184465e-11,3.42239167581819e-11,1.0,-9.61388221129178e-11,1.0,85,10
-6.181656085360772e-10,-7.283517440087918e-10,-6.745875710115452e-10,1.0,-7.934344981944039e-10,1.0,86,10
-1.5320727889237268e-10,-1.5022491057357596e-10,-1.5140241372980965e-10,1.0,3.78784308606786e-12,1.0,87,10
-1.6549146723578456e-11,1.677750930565922e-11,-2.7135009150198725e-13,1.0,4.491455152207652e-11,1.0,88,10
-1.772982992613565e-10,-2.9536973003329714e-10,-2.3736626313822e-10,1.0,-2.448272438525115e-10,1.0,89,10
3.338928815609457e-11,9.425334097336654e-11,6.366493520138083e-11,1.0,-2.937310898838892e-11,1.0,90,10
-2.16540721041157e-11,-2.785775352708426e-11,-2.4786878257787675e-11,1.0,-7.063306430504998e-12,1.0,91,10
1.0607937693050068e-11,1.4980723494527457e-10,8.081307106623656e-11,1.0,1.3429631875540633e-10,1.0,92,10
-2.201978683745373e-10,-1.352957733324726e-10,-1.777813510970106e-10,1.0,-2.1450330693098422e-10,1.0,93,10
-1.6685309963888963e-10,-9.201950340143707e-11,-1.2903258683690893e-10,1.0,-1.3447853932730343e-10,1.0,94,10
4.677292863437907e-11,3.8374264675397994e-10,2.1557340665475518e-10,1.0,1.2318801433578957e-10,1.0,95,10
